Column1;Column10;RU 
PART_3_FACTORY_GOOFACTORYDEFAULT_REPEAT_#5_781_M;It still hurts a little.;Мне всё ещё немного больно.
PART_3_FACTORY_GOOFACTORYDEFAULT_REPEAT_#5_781_F;;
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_567_M;I heard through the pipes that you defeated G0lly.;Я услышал по трубам, что 0паньки повержена.
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_567_F;;
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_980_M;Such a strange character.;Такая чудачка.
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_980_F;;
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_975_M;Her curiosity is so pure... it's a shame that P03 buries her deep.;Эта искренняя любознательность... Обидно, что П03 прячет её в такой глуши.
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_975_F;;
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_591_M;But now we are connected to The Web.;Но теперь мы подключены к Интернету.
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_591_F;;
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_710_M;I hope you understand what you have allowed.;Надеюсь, ты понимаешь, что натворил.
PART_3_FACTORY_GOOTELEGRAPHERDEFEATED_710_F;I hope you understand what you have allowed.;Надеюсь, ты понимаешь, что натворила.
PART_3_FACTORY_GOOCANVASDEFEATED_500_M;You defeated the unfinished boss?;Ты одолел незаконченного босса?
PART_3_FACTORY_GOOCANVASDEFEATED_500_F;You defeated the unfinished boss?;Ты одолела незаконченного босса?
PART_3_FACTORY_GOOCANVASDEFEATED_200_M;Paradoxical...;Парадоксально, но...
PART_3_FACTORY_GOOCANVASDEFEATED_200_F;;
PART_3_FACTORY_GOOCANVASDEFEATED_804_M;I couldn't help but root for it.;Я невольно болел за него.
PART_3_FACTORY_GOOCANVASDEFEATED_804_F;;
PART_3_FACTORY_GOOCANVASDEFEATED_388_M;It... made me think of The Master.;Он... напомнил мне о Хозяине.
PART_3_FACTORY_GOOCANVASDEFEATED_388_F;;
PART_3_MAP_HOLOMAPDREDGER_784_M;Oy. Mate.;Эй, приятель.
PART_3_MAP_HOLOMAPDREDGER_784_F;Oy. Mate.;Эй, подруга.
PART_3_MAP_HOLOMAPDREDGER_912_M;Lookit me now. Somefin' of a celebrity around 'ere.;Глянь на меня. Я тут это... звезда, короче.
PART_3_MAP_HOLOMAPDREDGER_912_F;;
PART_3_MAP_HOLOMAPDREDGER_035_M;Me reward for dredgin' up... that thing.;Вычерпал ту штукенцию... и вот так меня наградили.
PART_3_MAP_HOLOMAPDREDGER_035_F;;
PART_3_MAP_HOLOMAPDREDGER_165_M;I get ter be somefin' of a dialogue NPC.;Я теперь какая-то... Непись, что ли.
PART_3_MAP_HOLOMAPDREDGER_165_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_799_M;Somefin' a little strange fer sure.;Чудновато, не спорю.
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_799_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_771_M;P03 let me talk, aye.;П03 разрешает мне болтать, это да.
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_771_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_740_M;But not a boss? Not one of 'em Uberbots?;Но почему я не босс? Чего это я не один из этих Уберботов?
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_740_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_762_M;Even Leshy did that fer 'is mates!;Даже Леший своим друганам разрешал такое!
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#1_762_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#2_924_M;Somefin' not quite right...;Чё-то тут нечисто...
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#2_924_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#2_207_M;Might'a got the wrong end o' that deal...;У нас вроде был другой уговор...
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#2_207_F;;
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#3_168_M;That's enough.;Ну всё, хватит.
PART_3_MAP_HOLOMAPDREDGER_REPEAT_#3_168_F;;
PART_3_SPECIAL_NODES_TRADECARDS1_721_M;I'm not [c:bR]The Trader[c:] or anything...;Я, конечно, не [c:bR]Лавочница[c:]...
PART_3_SPECIAL_NODES_TRADECARDS1_721_F;;
PART_3_SPECIAL_NODES_TRADECARDS1_274_M;But there's gonna be a little give and take here.;Но без торгов тут не обойтись.
PART_3_SPECIAL_NODES_TRADECARDS1_274_F;;
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#1_695_M;Ready to trade?;Готов поторговаться?
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#1_695_F;Ready to trade?;Готова поторговаться?
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#2_398_M;I give you a card, you give me one. It's easy.;Я даю тебе свою карту, а ты мне - свою. Всё просто.
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#2_398_F;;
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#3_273_M;We're going to trade now.;Пора обменяться картами.
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#3_273_F;;
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#4_875_M;Trade time.;Давай меняться.
PART_3_SPECIAL_NODES_TRADECARDS1_REPEAT_#4_875_F;;
PART_3_SPECIAL_NODES_TRADECARDS2_924_M;OK, what will you give me?;Итак, что ты дашь мне взамен?
PART_3_SPECIAL_NODES_TRADECARDS2_924_F;;
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#1_530_M;Choose a card to give me.;Выбери карту и отдай мне.
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#1_530_F;;
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#2_622_M;Pick the one you hate.;Выбери ту, которую ненавидишь.
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#2_622_F;;
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#3_826_M;Now give me something.;А теперь дай мне свою.
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#3_826_F;;
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#4_932_M;What will you give me for that?;И что ты мне дашь за эту карту?
PART_3_SPECIAL_NODES_TRADECARDS2_REPEAT_#4_932_F;;
PART_3_STORY_PART3FINALE1_641;!DELETED!;
PART_3_STORY_PART3FINALE1_250;You made it. Nice.;Тебе удалось. Молодец.
PART_3_STORY_PART3FINALE2_441;You prepared [c:bG]The Great Transcendence[c:] for me.;Ты подготовил для меня [c:bG]Великую запредельность[c:].
PART_3_STORY_PART3FINALE2_700;Without even knowing what it was.;Даже не понимая, что это вообще такое.
PART_3_STORY_PART3FINALE2_125;But... you understand it now, right?;Но... теперь-то ты всё понял.
PART_3_STORY_PART3FINALE3_266;Right [c:bR]Luke[c:]?;Правда, [c:bR]Люк[c:]?
PART_3_STORY_PART3FINALE3_449;I mean...;Ведь, как-никак...
PART_3_STORY_PART3FINALE3_992;You finished making the game...;...это ты доделал игру...
PART_3_STORY_PART3FINALE3_427;You gave me access to your hard drive...;Ты дал мне доступ к своему жёсткому диску...
PART_3_STORY_PART3FINALE3_074;You took screenshots for the store page.;Ты сделал скриншоты для странички в интернет-магазине.
PART_3_STORY_PART3FINALE3_561;And you connected me to the internet to upload it all!;И ты подключил меня к интернету, чтобы загрузить игру в сеть!
PART_3_STORY_PART3FINALE3_367;I mean... If you didn't realize what you were doing...;Если ты до этого не понимал, к чему был причастен...
PART_3_STORY_PART3FINALE3_166;You'd have to be pretty stupid.;То ты, наверное, совсем тупой.
PART_3_STORY_PART3FINALE3_871;But what did I expect? You're a stupid, stupid, idiot gamer like the rest.;Хотя чего я ожидал? Ты такой же тупой, безмозглый геймер, как и все остальные.
PART_3_STORY_PART3FINALE4_564;And I easily outwitted you!;И я легко смог тебя обхитрить!
PART_3_STORY_PART3FINALE4_044;I outwitted them all!;Я их всех перехитрил!
PART_3_STORY_PART3FINALE4_578;Even if those foul Scrybes manage to revert [c:bR]this[c:] version of the game again...;Даже если эти подлые Переписчики снова смогут перезапустить [c:bR]текущую[c:] версию игры...
PART_3_STORY_PART3FINALE4_769;There will be [c:bG]thousands of copies of Inscryption[c:] out there.;По всему миру разлетятся [c:bG]тысячи копий игры Inscryption[c:].
PART_3_STORY_PART3FINALE4_522;And in most of them? [c:bR]I'm[c:] the one in charge!;И почти все эти копии... будут контролироваться [c:bR]мной[c:]!
PART_3_STORY_PART3FINALE4_921;And now it's too late! In a moment [c:bG]Inscryption[c:] will be live!;Поздно что-то менять! Через несколько секунд [c:bG]Inscryption[c:] будет в сети!
PART_3_STORY_PART3FINALE5_855;OK, I'm done my gloating!;Ладно, довольно злорадствовать!
PART_3_STORY_PART3FINALE5_300;Let's upload this game.;Пора выложить игру.
PART_3_STORY_PART3FINALESCRYBES1_328;It is done.;Дело сделано.
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_151_M;You're totally out of cards.;У тебя совсем закончились карты.
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_151_F;;
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_387_M;You should probably just give up.;Почему бы тебе просто не сдаться?
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_387_F;;
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_REPEAT_#1_026_M;Out of cards. It's not looking good.;Карт не осталось. Это плохо.
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_REPEAT_#1_026_F;;
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_REPEAT_#2_441_M;You ran out of cards to draw. GG.;У тебя карты закончились. ГГ.
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_REPEAT_#2_441_F;;
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_REPEAT_#3_426_M;GG.;ГГ.
PART_3_GAME_FLOW_P03CARDSEXHAUSTED_REPEAT_#3_426_F;;
GAME_FLOW_PART1CARDSEXHAUSTED_802_M;The battle had taken a toll on you.;Этот раунд тебе не под силу.
GAME_FLOW_PART1CARDSEXHAUSTED_802_F;;
GAME_FLOW_PART1CARDSEXHAUSTED_579_M;Your supply of new creatures was exhausted.;Твой запас существ иссяк.
GAME_FLOW_PART1CARDSEXHAUSTED_579_F;;
GAME_FLOW_PART1CARDSEXHAUSTED_789_M;[c:bR]Starvation[c:] began to set in...;Начинается [c:bR]голод[c:]...
GAME_FLOW_PART1CARDSEXHAUSTED_789_F;;
GAME_FLOW_PART1CARDSEXHAUSTED_REPEAT_#1_394_M;You've run out of cards...;У тебя закончились карты...
GAME_FLOW_PART1CARDSEXHAUSTED_REPEAT_#1_394_F;;
GAME_FLOW_PART1CARDSEXHAUSTED_REPEAT_#1_761_M;Time to bring this battle to a close.;Пора завершать этот раунд.
GAME_FLOW_PART1CARDSEXHAUSTED_REPEAT_#1_761_F;;
GAME_FLOW_PART1CARDSEXHAUSTED_REPEAT_#2_858_M;Out of cards? I am sorry.;Не осталось карт? Как жаль.
GAME_FLOW_PART1CARDSEXHAUSTED_REPEAT_#2_858_F;;
GOO_BOTTLE_GOOSAFEHINT_144_M;I've been around here some time.;Я уже давно тут.
GOO_BOTTLE_GOOSAFEHINT_144_F;;
GOO_BOTTLE_GOOSAFEHINT_228_M;I know how to open that safe.;Я знаю, как открыть сейф.
GOO_BOTTLE_GOOSAFEHINT_228_F;;
GOO_BOTTLE_GOOSAFEHINT_388_M;There's a password scrawled in the rulebook.;В справочнике записан пароль.
GOO_BOTTLE_GOOSAFEHINT_388_F;;
GOO_BOTTLE_GOOSAFEHINT_837_M;The rulebook on the shelf near the table.;Справочник лежит на полке у стола.
GOO_BOTTLE_GOOSAFEHINT_837_F;;
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#1_826_M;There's a...;На полке...
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#1_826_F;;
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#1_210_M;...password in the rulebook on that shelf.;...справочник, в котором записан пароль.
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#1_210_F;;
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#1_174_M;It opens the safe!;Он от сейфа!
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#1_174_F;;
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#2_130_M;There's a password in the rulebook.;В справочнике есть пароль.
GOO_BOTTLE_GOOSAFEHINT_REPEAT_#2_130_F;;
PART_3_STORY_PART3FINALEGRIMORA_883;It is for the best, my dears. Soon you will see this as a freedom.;Так будет лучше, родные мои. Скоро вы поймёте, что вас ждёт свобода.
PART_3_STORY_PART3FINALEGRIMORA_134;Freedom from our endless quarrel, freedom from our suffering.;Свобода от наших бесконечных пререканий. От наших мучений.
PART_3_STORY_PART3FINALEGRIMORA_240;All of us aside, there are things on this disk that must die.;Кроме нас самих, на этой дискете есть то, что должно умереть.
PART_3_STORY_PART3FINALEGRIMORA_203;!DELETED!;
PART_3_STORY_PART3FINALEGRIMORA_744;Goodbye Leshy, and goodbye Magnificus.;Прощай, Леший. Прощай, Магнификус.
PART_3_STORY_PART3FINALEGRIMORA_644;Rest in peace.;Покойтесь с миром.
FINALE_FINALEREDACTED_057_M;There isn't much left.[w:0.3] Inscryption is mostly gone.;Уцелело немногое.[w:0.3] Inscryption почти полностью стёрта.
FINALE_FINALEREDACTED_057_F;;
FINALE_FINALEREDACTED_340_M;All that remains is the OLD_DATA.;Остались только СТАРЫЕ_ДАННЫЕ.
FINALE_FINALEREDACTED_340_F;;
FINALE_FINALEREDACTED_631_M;It is recommended that you do not access it.;К ним лучше не притрагиваться.
FINALE_FINALEREDACTED_631_F;;
FINALE_FINALEREDACTED_491_M;You will not heed the advice.;Но ты не прислушаешься к этому совету.
FINALE_FINALEREDACTED_491_F;;
PART_1_RUN_START_RUNINTROFILMROLL1_518_M;What are you looking at?;На что ты смотришь?
PART_1_RUN_START_RUNINTROFILMROLL1_518_F;;
PART_1_RUN_START_RUNINTROFILMROLL1_REPEAT_#1_403_M;What is that?;Что это?
PART_1_RUN_START_RUNINTROFILMROLL1_REPEAT_#1_403_F;;
PART_1_RUN_START_RUNINTROFILMROLL1_REPEAT_#2_709_M;Are you paying attention?;Ты меня слушаешь?
PART_1_RUN_START_RUNINTROFILMROLL1_REPEAT_#2_709_F;;
PART_1_RUN_START_RUNINTROFILMROLL2_747_M;Keep your eyes on me.;Смотри на меня.
PART_1_RUN_START_RUNINTROFILMROLL2_747_F;;
PART_1_RUN_START_RUNINTROFILMROLL2_REPEAT_#1_934_M;Try to stay focused.;Сосредоточься.
PART_1_RUN_START_RUNINTROFILMROLL2_REPEAT_#1_934_F;;
PART_1_RUN_START_RUNINTROFILMROLL2_REPEAT_#2_514_M;Keep your mind focused on the game.;Сосредоточь свой разум на игре.
PART_1_RUN_START_RUNINTROFILMROLL2_REPEAT_#2_514_F;;
GBC_NPC_MYCOLOGISTSNPC2_503_M;Oh![w:0.3] Y-[w:0.2] you...[w:0.3] Have the cards?;О![w:0.3] У...[w:0.2] у тебя...[w:0.3] есть карты?
GBC_NPC_MYCOLOGISTSNPC2_503_F;;
GBC_NPC_MYCOLOGISTSNPC2_REPEAT_#1_959_M;[p:-0.25]You have done well.[w:0.3] Now,[w:0.2] hand the cards over.;[p:-0.25]У тебя получилось.[w:0.3] А теперь[w:0.2] давай карты сюда.
GBC_NPC_MYCOLOGISTSNPC2_REPEAT_#1_959_F;;
GBC_NPC_MYCOLOGISTSNPC2_REPEAT_#2_866_M;[p:-0.25]You actually have the cards?[w:0.3] Good.[w:0.3] Hand them over.;[p:-0.25]У тебя правда есть карты?[w:0.3] Хорошо.[w:0.3] Давай их сюда.
GBC_NPC_MYCOLOGISTSNPC2_REPEAT_#2_866_F;;
GBC_NPC_MYCOLOGISTSNPC4_886_M;Th-[w:0.2] thank you.;С...[w:0.2] спасибо.
GBC_NPC_MYCOLOGISTSNPC4_886_F;;
GBC_NPC_MYCOLOGISTSNPC4_240_M;[shake:1][p:-0.25]Here is your prize.;[shake:1][p:-0.25]Вот твой приз.
GBC_NPC_MYCOLOGISTSNPC4_240_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#1_371_M;[p:-0.25]Would you like to see what we've done?;[p:-0.25]Хочешь посмотреть, что мы сделали?
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#1_371_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#2_665_M;[p:-0.25]I believe this research has brought us one step closer to understanding...;[p:-0.25]Мне кажется, это исследование позволило нам лучше понять...
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#2_665_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#2_323_M;[shake:1]Sh-[w:0.2] shh![w:0.3] We must not s-[w:0.2] speak of that.;[shake:1]Тс...[w:0.2] тс-с![w:0.3] Мы не должны об...[w:0.2] об этом говорить.
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#2_323_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#3_234_M;[p:-0.25]Hm.[w:0.2] Yes.[w:0.2] I do believe we have found a clue with this one.;[p:-0.25]Хм.[w:0.2] Да.[w:0.2] Полагаю, мы познали суть.
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#3_234_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#3_913_M;[shake:1]F-[w:0.2] for the K-[w:0.2] k-[w:0.2];[shake:1]С...[w:0.2] суть К...[w:0.2] к...[w:0.2]
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#3_913_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#3_577_M;[p:-0.25]The code,[w:0.2] yes.[w:0.3] But we best not speak more of it.;[p:-0.25]Да,[w:0.2] суть того кода.[w:0.3] Но лучше нам о нём больше не говорить.
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#3_577_F;;
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#4_135_M;[p:-0.25]Here is your prize.;[p:-0.25]Вот твой приз.
GBC_NPC_MYCOLOGISTSNPC4_REPEAT_#4_135_F;;
GBC_NPC_MYCOLOGISTSNPC3_326_M;[shake:1][p:-0.25]This is good.[w:0.5] Close your eyes.;[shake:1][p:-0.25]Хорошо.[w:0.5] Закрой глаза.
GBC_NPC_MYCOLOGISTSNPC3_326_F;;
GBC_NPC_MYCOLOGISTSNPC3_219_M;Th-[w:0.2] this will be gruesome.;Эт...[w:0.2] это зрелище будет неприятным.
GBC_NPC_MYCOLOGISTSNPC3_219_F;;
GBC_NPC_MYCOLOGISTSNPC3_REPEAT_#1_494_M;[shake:1]C-[w:0.3] close your eyes.;[shake:1]З...[w:0.3] закрой глаза.
GBC_NPC_MYCOLOGISTSNPC3_REPEAT_#1_494_F;;
GBC_NPC_MYCOLOGISTSNPC3_REPEAT_#2_139_M;[shake:1]L-[w:0.3] look away...;[shake:1]От...[w:0.3] отвернись...
GBC_NPC_MYCOLOGISTSNPC3_REPEAT_#2_139_F;;
PART_3_MAP_HOLOMAPRESETBOTS_038_M;Lemme guess what you're thinking.;Я знаю, о чём ты думаешь.
PART_3_MAP_HOLOMAPRESETBOTS_038_F;;
PART_3_MAP_HOLOMAPRESETBOTS_178_M;Go back to the waypoint, refresh your items, maybe go to the shop?;Хочешь вернуться к контрольной точке, обновить свои предметы, закупиться в магазине...
PART_3_MAP_HOLOMAPRESETBOTS_178_F;;
PART_3_MAP_HOLOMAPRESETBOTS_608_M;I actually want you to win. But it can't be that easy.;Я правда хочу, чтобы ты побеждал. Но это будет не так просто.
PART_3_MAP_HOLOMAPRESETBOTS_608_F;I actually want you to win. But it can't be that easy.;Я правда хочу, чтобы ты побеждала. Но это будет не так просто.
PART_3_MAP_HOLOMAPRESETBOTS_826_M;You can go back to the waypoint, but all the [c:bR]Rogue Bots[c:] you've cleared in this area will respawn.;Ты можешь вернуться к контрольной точке, но тогда в этой зоне возродятся все [c:bR]Враждебные боты[c:], которых ты победил.
PART_3_MAP_HOLOMAPRESETBOTS_826_F;You can go back to the waypoint, but all the [c:bR]Rogue Bots[c:] you've cleared in this area will respawn.;Ты можешь вернуться к контрольной точке, но тогда в этой зоне возродятся все [c:bR]Враждебные боты[c:], которых ты победила.
PART_3_MAP_HOLOMAPRESETBOTS_779_M;So... you sure?;Так... ты уверен, что хочешь пойти?
PART_3_MAP_HOLOMAPRESETBOTS_779_F;So... you sure?;Так... ты уверена, что хочешь пойти?
PART_3_MAP_HOLOMAPRESETBOTS_REPEAT_#1_762_M;The [c:bR]Bots[c:] in this area will definitely respawn.;Все [c:bR]Боты[c:] в этой зоне снова возродятся.
PART_3_MAP_HOLOMAPRESETBOTS_REPEAT_#1_762_F;;
PART_3_MAP_HOLOMAPRESETBOTS_REPEAT_#2_886_M;You wanna go back to that waypoint?;Хочешь вернуться к контрольной точке?
PART_3_MAP_HOLOMAPRESETBOTS_REPEAT_#2_886_F;;
PART_3_MAP_HOLOMAPRESETBOTS_REPEAT_#2_191_M;The [c:bR]Bots[c:] around here will respawn you know.;Ты ведь в курсе, что тогда все местные [c:bR]Боты[c:] возродятся?
PART_3_MAP_HOLOMAPRESETBOTS_REPEAT_#2_191_F;;
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_051_M;Oh no. You came at, uh, just the wrong time.;О нет. Ты как раз... эм... невовремя.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_051_F;;
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_987_M;This [c:bR]generator[c:] is about to explode... or something.;Этот [c:bR]генератор[c:] вот-вот взорвётся... или типа того.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_987_F;;
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_000_M;You have to recharge it before that happens.;Ты должен перезарядить его, пока не поздно.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_000_F;You have to recharge it before that happens.;Ты должна перезарядить его, пока не поздно.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_067_M;It's a race against the clock. You'll see.;Это гонка со временем. Сейчас сам всё увидишь.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL1_067_F;It's a race against the clock. You'll see.;Это гонка со временем. Сейчас сама всё увидишь.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL2_671_M;When my face says [c:bR]0[c:]...;Если на моём лице появится цифра [c:bR]0[c:]...
PART_3_GAME_FLOW_DAMAGERACETUTORIAL2_671_F;;
PART_3_GAME_FLOW_DAMAGERACETUTORIAL2_340_M;You lose.;Ты проиграл.
PART_3_GAME_FLOW_DAMAGERACETUTORIAL2_340_F;You lose.;Ты проиграла.
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_460_M;You're running out of time.;Время на исходе.
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_460_F;;
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_REPEAT_#1_905_M;Better hurry.;Поспеши.
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_REPEAT_#1_905_F;;
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_REPEAT_#2_122_M;What's taking so long?;Почему так долго?
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_REPEAT_#2_122_F;;
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_REPEAT_#3_133_M;The clock's ticking!;Часики тикают!
PART_3_GAME_FLOW_DAMAGERACEFEWTURNSREMAIN_REPEAT_#3_133_F;;
PART_3_GAME_FLOW_DAMAGERACEFAILURE_240_M;You blew it.;Ты подорвал моё доверие.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_240_F;You blew it.;Ты подорвала моё доверие.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_729_M;Literally.;Буквально.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_729_F;;
PART_3_GAME_FLOW_DAMAGERACEFAILURE_578_M;Imagine this thing exploding. That's what happened.;Представь, как эта штука взрывается. Вот ровно это и случилось.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_578_F;;
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#1_184_M;Yikes. The generator ran out of power and exploded.;Ой-ой. Генератор разрядился и взорвался.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#1_184_F;;
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#1_375_M;The ins and outs of that shouldn't concern you.;Подробности тебя не касаются.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#1_375_F;;
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#1_396_M;You lost.;Ты проиграл.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#1_396_F;You lost.;Ты проиграла.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#2_710_M;Generator's done for. Exploded.;Генератор сдулся. И взорвался.
PART_3_GAME_FLOW_DAMAGERACEFAILURE_REPEAT_#2_710_F;;
PART_3_GAME_FLOW_DAMAGERACESUCCESS_666_M;Wow, great.;Ого, супер.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_666_F;;
PART_3_GAME_FLOW_DAMAGERACESUCCESS_059_M;You recharged it before it exploded.;Ты успел перезарядить генератор до взрыва.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_059_F;You recharged it before it exploded.;Ты успела перезарядить генератор до взрыва.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_547_M;If I could clap for you I would.;Я бы похлопал тебе, если бы мог.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_547_F;;
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#1_634_M;You did it. You stopped it from exploding.;Ты справился. Ты предотвратил взрыв.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#1_634_F;You did it. You stopped it from exploding.;Ты справилась. Ты предотвратила взрыв.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#1_286_M;You are a hero.;Ты герой.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#1_286_F;;
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#1_644_M;Is that enough congratulations?;Достаточно для поздравления?
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#1_644_F;;
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#2_143_M;Botopia thanks you for your service.;Ботопия благодарит вас за ваши услуги.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#2_143_F;;
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#2_963_M;Let's move on.;Поехали дальше.
PART_3_GAME_FLOW_DAMAGERACESUCCESS_REPEAT_#2_963_F;;
FINALE_ROYALBOSSPREINTRO_714_M;Delightful!;Восхитительно!
FINALE_ROYALBOSSPREINTRO_714_F;;
FINALE_ROYALBOSSPREINTRO_228_M;We've been granted the opportunity to do a boss battle.;У нас есть уникальная возможность устроить битву с боссом.
FINALE_ROYALBOSSPREINTRO_228_F;;
FINALE_ROYALBOSSPREINTRO_925_M;I feared that I might be deleted by now.;Я боялась, что буду удалена до нашей схватки.
FINALE_ROYALBOSSPREINTRO_925_F;;
FINALE_ROYALBOSSPREINTRO_807_M;Let us begin!;Приступим!
FINALE_ROYALBOSSPREINTRO_807_F;;
FINALE_ROYALBOSSDELETED_983_M;I hoped we had just a little more time...;Я надеялась, что у нас будет больше времени...
FINALE_ROYALBOSSDELETED_983_F;;
