Column1;Column10;ITA 
PART_3_MAP_HOLOAREAINTRO4_103_M;The real best way to fight back those rogue bots?;Mi stai chiedendo quale sia il modo migliore per contrastare quei bot ribelli?
PART_3_MAP_HOLOAREAINTRO4_103_F;;
PART_3_MAP_HOLOAREAINTRO4_604_M;Modify yours. Give them [c:bR]OP[c:] abilities.;Modificare i tuoi. Dagli delle abilità [c:bR]OP[c:].
PART_3_MAP_HOLOAREAINTRO4_604_F;;
PART_3_TUTORIAL_PART3TUTORIALRESPAWN_685_M;Back to the last waypoint you reached.;Si torna all'ultima tappa che hai raggiunto.
PART_3_TUTORIAL_PART3TUTORIALRESPAWN_685_F;;
PART_3_TUTORIAL_PART3TUTORIALRESPAWN_550_M;Just skip back to where you were, right?;Basta tornare indietro a dov'eri prima, giusto?
PART_3_TUTORIAL_PART3TUTORIALRESPAWN_550_F;;
PART_3_TUTORIAL_PART3TUTORIALRESPAWN_627_M;Not so easy. All the rogue bots in that area just respawned.;Non è così semplice. Tutti i bot ribelli di quell'area sono appena stati rigenerati.
PART_3_TUTORIAL_PART3TUTORIALRESPAWN_627_F;;
PART_3_TUTORIAL_PART3TUTORIALBLOODSTAIN_345_M;Boom. All your money is gone. Great work.;Boom. Tutti i tuoi soldi sono spariti. Ottimo lavoro.
PART_3_TUTORIAL_PART3TUTORIALBLOODSTAIN_345_F;;
PART_3_TUTORIAL_PART3TUTORIALBLOODSTAIN_559_M;You want it back?;Li vuoi indietro?
PART_3_TUTORIAL_PART3TUTORIALBLOODSTAIN_559_F;;
PART_3_TUTORIAL_PART3TUTORIALBLOODSTAIN_984_M;Then get back to this spot without dying again.;Allora torna in questo punto senza morire di nuovo.
PART_3_TUTORIAL_PART3TUTORIALBLOODSTAIN_984_F;;
PART_3_MAP_HOLOAREANATURE1_843_M;Revolting!;Ma è rivoltante!
PART_3_MAP_HOLOAREANATURE1_843_F;;
PART_3_MAP_HOLOAREANATURE1_764_M;Yeah, sorry that you have to see this.;Già, mi dispiace tu abbia dovuto assistere a una scena simile.
PART_3_MAP_HOLOAREANATURE1_764_F;;
PART_3_MAP_HOLOAREANATURE1_631_M;It's the last area in Botopia that still has [c:bR]life[c:] in it.;È l'ultima area di Botopia in cui c'è ancora della [c:bR]vita[c:].
PART_3_MAP_HOLOAREANATURE1_631_F;;
PART_3_MAP_HOLOAREANATURE1_265_M;That stinking, squirming mass of imperfection...;Quella massa imperfetta, fetida e contorta...
PART_3_MAP_HOLOAREANATURE1_265_F;;
PART_3_MAP_HOLOAREAINTRO5_644_M;You're almost at the Waypoint.;Ci manca poco per arrivare alla tappa.
PART_3_MAP_HOLOAREAINTRO5_644_F;;
PART_3_MAP_HOLOAREAINTRO5_585_M;Don't choke now.;Non ciccare proprio adesso.
PART_3_MAP_HOLOAREAINTRO5_585_F;;
PART_3_MAP_HOLOAREAEAST1_193_M;Eastern Botopia...;Botopia orientale...
PART_3_MAP_HOLOAREAEAST1_193_F;;
PART_3_MAP_HOLOAREAEAST1_408_M;Not much of value out this way.;Non ci sono molte cose di valore da queste parti.
PART_3_MAP_HOLOAREAEAST1_408_F;;
PART_3_MAP_HOLOAREAEAST2_195_M;But you've still gotta explore here.;Ma devi comunque esplorare i dintorni.
PART_3_MAP_HOLOAREAEAST2_195_F;;
PART_3_MAP_HOLOAREAEAST2_396_M;You know, for [c:bG]The Great Transcendence[c:]...;Sai, per [c:bG]la Grande Trascendenza[c:]...
PART_3_MAP_HOLOAREAEAST2_396_F;;
PART_3_MAP_HOLOMAPPOWEROUT_274_M;Lame.;Che palla.
PART_3_MAP_HOLOMAPPOWEROUT_274_F;;
PART_3_MAP_HOLOMAPPOWEROUT_196_M;The power is dead on this old thing.;Non c'è più carica in questo vecchio arnese.
PART_3_MAP_HOLOMAPPOWEROUT_196_F;;
PART_3_MAP_HOLOMAPPOWEROUT_548_M;I'll let you get up if you go get a new battery.;Ti faccio salire se vai a prendermi una nuova batteria.
PART_3_MAP_HOLOMAPPOWEROUT_548_F;;
PART_3_MAP_HOLOAREAUNDEAD1_845_M;Ugh.;Ugh.
PART_3_MAP_HOLOAREAUNDEAD1_845_F;;
PART_3_MAP_HOLOAREAUNDEAD1_809_M;This dank scrapyard is pretty unpleasant.;Questa fetida discarica fa schifo.
PART_3_MAP_HOLOAREAUNDEAD1_809_F;;
PART_3_MAP_HOLOAREAUNDEAD1_017_M;Its inhabitants' grasping claws seek fresh bots.;Gli artigli avidi dei suoi abitanti cercano robot nuovi.
PART_3_MAP_HOLOAREAUNDEAD1_017_F;;
PART_3_MAP_HOLOAREAUNDEAD1_849_M;Watch your ankles.;Occhio alle caviglie.
PART_3_MAP_HOLOAREAUNDEAD1_849_F;;
PART_3_MAP_HOLOAREAUNDEADTEMPLE1_504_M;What a depressing abode.;Che dimora deprimente.
PART_3_MAP_HOLOAREAUNDEADTEMPLE1_504_F;;
PART_3_MAP_HOLOAREAUNDEADTEMPLE1_919_M;You have to be here to defeat the resident [c:bG]Uberbot[c:]...;Devi essere qui per sconfiggere l'[c:bG]Überbot[c:] che vive qui...
PART_3_MAP_HOLOAREAUNDEADTEMPLE1_919_F;;
PART_3_MAP_HOLOAREAUNDEADTEMPLE1_285_M;But I don't think you'll want to stay long.;Ma non penso vorrai rimanere a lungo.
PART_3_MAP_HOLOAREAUNDEADTEMPLE1_285_F;;
PART_3_MAP_HOLOAREAUNDEADTEMPLEBOSS_756_M;There it is... The [c:bG]Uberbot[c:] you sought.;Eccolo... L'[c:bG]Überbot[c:] che cercavi.
PART_3_MAP_HOLOAREAUNDEADTEMPLEBOSS_756_F;;
PART_3_MAP_HOLOAREAUNDEADTEMPLEBOSS_837_M;These idiotic librarians worship it... as it sits here covered in filth and grime.;Questi bibliotecari imbecilli lo venerano... mentre se ne sta qui ricoperto di sporcizia e lerciume.
PART_3_MAP_HOLOAREAUNDEADTEMPLEBOSS_837_F;;
PART_3_MAP_HOLOAREAUNDEADTEMPLEBOSS_936_M;Ready to clean it up?;Sei pronto a ripulirlo?
PART_3_MAP_HOLOAREAUNDEADTEMPLEBOSS_936_F;Ready to clean it up?;Sei pronta a ripulirlo?
PART_3_MAP_HOLOAREANATURETEMPLE1_316_M;The guy who used to live here was totally sloppy.;Il tizio che viveva qui era trasandato.
PART_3_MAP_HOLOAREANATURETEMPLE1_316_F;;
PART_3_MAP_HOLOAREANATURETEMPLE1_589_M;I don't mean he didn't keep a clean cabin... it was his plays.;Non sto parlando di come teneva la sua casetta... ma del suo modo di giocare.
PART_3_MAP_HOLOAREANATURETEMPLE1_589_F;;
PART_3_MAP_HOLOAREANATURETEMPLE1_124_M;He'd make misplays left and right. Cared more about lore and flavor.;Faceva pessime giocate ogni due per tre. Gli importavano più la storia delle carte e gli piaceva creare mazzi a tema, non forti.
PART_3_MAP_HOLOAREANATURETEMPLE1_124_F;;
PART_3_MAP_HOLOAREANATURETEMPLE1_834_M;You get it right? Perfect strategy is all that matters in a card game.;Mi capisci, giusto? Una strategia perfetta è l'unica cosa che conta in un gioco di carte.
PART_3_MAP_HOLOAREANATURETEMPLE1_834_F;;
PART_3_MAP_HOLOAREANATURETEMPLEBOSS_783_M;Eerie. This [c:bG]Uberbot[c:] just sits here in perfect darkness.;Inquietante. Questo [c:bG]Überbot[c:] se ne sta fermo qui, nell'oscurità totale.
PART_3_MAP_HOLOAREANATURETEMPLEBOSS_783_F;;
PART_3_MAP_HOLOAREANATURETEMPLEBOSS_291_M;Is it just waiting for challengers?;Sta solo aspettando degli sfidanti?
PART_3_MAP_HOLOAREANATURETEMPLEBOSS_291_F;;
PART_3_MAP_HOLOAREANATURETEMPLEBOSS_721_M;Maybe it's letting its photos develop.;Forse sta facendo sviluppare le sue foto.
PART_3_MAP_HOLOAREANATURETEMPLEBOSS_721_F;;
PART_3_MAP_FACTORYFETCHBATTERY1_665_M;You're allowed in the Inspection Room only.;Ti è concesso entrare solo nella Sala di verifica.
PART_3_MAP_FACTORYFETCHBATTERY1_665_F;;
PART_3_MAP_FACTORYFETCHBATTERY1_057_M;Just get me the battery from the inspectometer and come back.;Prendi la batteria dal verificatore e torna indietro.
PART_3_MAP_FACTORYFETCHBATTERY1_057_F;;
PART_3_MAP_FACTORYFETCHBATTERY2_835_M;Oh, I left those things turned off?;Oh, le ho lasciate spente?
PART_3_MAP_FACTORYFETCHBATTERY2_835_F;;
PART_3_MAP_FACTORYFETCHBATTERY2_873_M;That's fine. Just solve some easy puzzles.;Fa lo stesso. Basta che risolvi qualche semplice rompicapo.
PART_3_MAP_FACTORYFETCHBATTERY2_873_F;;
PART_3_MAP_FACTORYFETCHBATTERY3_364_M;Yep. That's it. Bring it over.;Già. Proprio così. Portala da me.
PART_3_MAP_FACTORYFETCHBATTERY3_364_F;;
PART_3_MAP_FACTORYFETCHBATTERY4_184_M;Yep. Thanks.;Già. Grazie.
PART_3_MAP_FACTORYFETCHBATTERY4_184_F;;
PART_3_MAP_FACTORYFETCHBATTERY5_575_M;That should do it. Back to the game.;Così dovrebbe andare. Si torna in gioco.
PART_3_MAP_FACTORYFETCHBATTERY5_575_F;;
SPECIAL_NODES_TRADERPELTSMERGED_758_M;What have you done to that pelt?;Cos'hai fatto con quella pelle?
SPECIAL_NODES_TRADERPELTSMERGED_758_F;;
SPECIAL_NODES_TRADERPELTSMERGED_712_M;It's... monstrous... yet I must have it.;È... mostruosa... eppure... devo averla.
SPECIAL_NODES_TRADERPELTSMERGED_712_F;;
SPECIAL_NODES_TRADERPELTSMERGED_527_M;What do you think of these?;Cosa ne pensi?
SPECIAL_NODES_TRADERPELTSMERGED_527_F;;
SPECIAL_NODES_TRADERPELTSMERGED_REPEAT_#1_191_M;That pelt... that is quite unusual.;Quella pelle... è alquanto insolita.
SPECIAL_NODES_TRADERPELTSMERGED_REPEAT_#1_191_F;;
SPECIAL_NODES_TRADERPELTSMERGED_REPEAT_#3_475_M;A veritable quilt! I must have it.;Una trapunta autentica! Devo averla.
SPECIAL_NODES_TRADERPELTSMERGED_REPEAT_#3_475_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED1_519_M;Yep. Good.;Sì. Bene.
PART_3_MAP_FACTORYGEMSMODULEFETCHED1_519_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED1_903_M;Let's attach it.;Colleghiamolo.
PART_3_MAP_FACTORYGEMSMODULEFETCHED1_903_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_319_M;!DELETED!;!CANCELLATO!
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_319_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_129_M;!DELETED!;!CANCELLATO!
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_129_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_530_M;!DELETED!;!CANCELLATO!
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_530_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_845_M;!DELETED!;!CANCELLATO!
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_845_F;;
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_216_M;Check it out.;Dacci un'occhiata.
PART_3_MAP_FACTORYGEMSMODULEFETCHED2_216_F;;
SPECIAL_NODES_TRADERFINALZONEINTRO_846_M;The Trader's post was left abandoned.;La postazione della Commerciante era vuota.
SPECIAL_NODES_TRADERFINALZONEINTRO_846_F;;
SPECIAL_NODES_TRADERFINALZONEINTRO_564_M;As a sign of respect for the strange woman, you took only what you could afford.;Come segno di rispetto per la strana donna, hai preso solo quel che ti potevi permettere.
SPECIAL_NODES_TRADERFINALZONEINTRO_564_F;;
SPECIAL_NODES_TRADERFINALZONEINTRO_REPEAT_#1_131_M;A chill wind blew through the trading post.;Un vento gelido soffiava nell'emporio.
SPECIAL_NODES_TRADERFINALZONEINTRO_REPEAT_#1_131_F;;
SPECIAL_NODES_TRADERFINALZONEINTRO_REPEAT_#1_129_M;Its proprietor was now deceased.;La sua proprietaria era morta.
SPECIAL_NODES_TRADERFINALZONEINTRO_REPEAT_#1_129_F;;
SPECIAL_NODES_TRADERFINALZONEINTRO_REPEAT_#1_932_M;Still, you abided by the strange woman's rules as best you could.;Nonostante ciò, hai seguito le regole della strana donna come meglio potevi.
SPECIAL_NODES_TRADERFINALZONEINTRO_REPEAT_#1_932_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_950_M;Woof. Sorry. Turn back.;Bau. Spiacente. Torna indietro.
PART_3_MAP_HOLOMAPBROKENBRIDGE_950_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_467_M;This bridge is totally busted. Go back.;Questo ponte è completamente rotto. Torna indietro.
PART_3_MAP_HOLOMAPBROKENBRIDGE_467_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_739_M;I'll need time. Beat a boss? That should give me enough time.;Ci vorrà del tempo. Hai un boss da battere? Dovrebbe fornirmi tempo a sufficienza.
PART_3_MAP_HOLOMAPBROKENBRIDGE_739_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#1_635_M;Woof. Yep. Still broken.;Bau. Già. È ancora rotto.
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#1_635_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#1_114_M;No fixing this thing for... a while.;Non sistemerò questa cosa per... un po'.
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#1_114_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#2_243_M;This job? Yeah it's gonna take a minute.;Come è messo questo lavoro? Eh, ci vorrà del tempo.
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#2_243_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#2_435_M;I bet if you defeated one of the [c:bG]Uberbots[c:]...;Scommetto che se sconfiggessi uno degli [c:bG]Überbot[c:]...
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#2_435_F;;
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#2_802_M;I bet that would be enough time to finish it up.;Scommetto che avrei abbastanza tempo per finire.
PART_3_MAP_HOLOMAPBROKENBRIDGE_REPEAT_#2_802_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_115_M;Yep. Oh no.;Già. Oh, no.
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_115_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_525_M;Yep. I forgot a piece...;Già. Ho dimenticato un pezzo...
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_525_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_599_M;You have legs. Stand up and get it.;Tu hai le gambe. Alzati e vai a prenderlo.
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_599_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_060_M;It's in the Smelter Room. Floating above the Smelting Machine.;È nella Sala della fonderia. Fluttua sopra la fonditrice.
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_060_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_279_M;I can't let you go further until I have it.;Non posso lasciarti proseguire finché non ce l'ho.
PART_3_MAP_HOLOMAPFETCHGEMSMODULE_279_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_965_M;Look. I need that piece.;Ascolta. Mi serve quel pezzo.
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_965_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_675_M;Would you stand up and get it?;Ti alzeresti e andresti a prenderlo?
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_675_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_376_M;It's in the Smelter Room. I opened the door for you.;È nella Sala della fonderia. Ti ho aperto la porta.
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_376_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#1_241_M;!DELETED!;!CANCELLATO!
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#1_241_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#1_047_M;That piece. In the Smelter Room.;Il pezzo. È nella Sala della fonderia.
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#1_047_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#1_402_M;Walk over and get it.;Su, muoviti e vallo a prendere.
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#1_402_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#2_880_M;I unlocked the door...;Ho aperto la porta...
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#2_880_F;;
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#2_116_M;It's floating above that strange bridge thing.;Fluttua sopra quella specie di ponte strano.
PART_3_MAP_HOLOMAPFETCHGEMSMODULEREMINDER_REPEAT_#2_116_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_388_M;That was fast...;C'è voluto poco...
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_388_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_885_M;Unfortunately[w:0.2] my [c:r]well[c:] did not yield the treasure I had hoped for.;Purtroppo,[w:0.2] il mio[c:r]pozzo[c:] non ha fruttato il tesoro che speravo.
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_885_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_729_M;And so we are forced to undergo another torturous cycle.;E per questo siamo costretti a subire un altro ciclo torturante.
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_729_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_290_M;Were it up to me?[w:0.4] I would erase it all...[w:0.3] and shepherd us into an eternal and supreme peace.;Se fosse per me,[w:0.4] cancellerei ogni cosa...[w:0.3] e condurrei tutti noi verso una pace eterna e suprema.
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_290_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_616_M;Not today.[w:0.3] Who is the lucky Scrybe this time?;Non oggi.[w:0.3] Chi è lo Scriba fortunato stavolta?
GBC_FINALE_PART2FINALEGRIMORACHOSEN1_616_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN1_516_M;[c:R][w:1][t:100][shake:1]F[shake:1]O[shake:1]O[shake:1]L[shake:1].[w:0.4][t:0][c:];[c:R][w:1][t:100][shake:1]F[shake:1]O[shake:1]L[shake:1]L[shake:1]E[shake:1].[w:0.4][t:0][c:]
GBC_FINALE_PART2FINALELESHYCHOSEN1_516_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN1_292_M;You have no idea what could have been.;Non hai idea di ciò che avrebbe potuto essere.
GBC_FINALE_PART2FINALELESHYCHOSEN1_292_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN1_615_M;A carefully curated cycle of life and death.[w:0.3] Excitement.[w:0.3] Terror.[w:0.3] Mystery.;Un ciclo ben curato, un ciclo di vita e morte.[w:0.3] Eccitazione.[w:0.3] Terrore.[w:0.3] Mistero.
GBC_FINALE_PART2FINALELESHYCHOSEN1_615_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN1_260_M;That gormless Angler[w:0.2] has once again failed me...;Quell'imbecille di un Pescatore[w:0.2] mi ha deluso ancora una volta...
GBC_FINALE_PART2FINALELESHYCHOSEN1_260_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN1_226_M;I suspect[w:0.3] that I know which Scrybe bested me...;Sospetto[w:0.3] di sapere quale Scriba mi ha sconfitto...
GBC_FINALE_PART2FINALELESHYCHOSEN1_226_F;;
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_715_M;I already know I have lost.[w:0.4] I have foreseen it.;So già di avere perso.[w:0.4] L'ho presagito.
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_715_F;;
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_721_M;[shake:1]My eye[w:0.4] aches[w:0.4] once again.;[shake:1]Il mio occhio[w:0.4] duole[w:0.4] ancora una volta.
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_721_F;;
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_542_M;[shake:1]Why must my pathetic Slime Mage always fail?;[shake:1]Perché il mio patetico Mago melma deve sempre fallire?
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_542_F;;
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_618_M;But would I be so meticulous in my preparedness...[w:0.3] if I[w:0.2] myself[w:0.2] had tasted power?;Ma sarei forse tanto meticoloso nella mia preparazione...[w:0.3] se avessi[w:0.2] io stesso[w:0.2] saggiato il potere?
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_618_F;;
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_866_M;Alas...[w:0.3] I may never know.;Ahimè...[w:0.3] Potrei non scoprirlo mai.
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_866_F;;
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_425_M;[shake:1]Show yourself![w:0.2] [shake:1][t:1]Fiendish[w:0.2][shake:1] machine!;[shake:1]Mostrati![w:0.2] [shake:1][t:1]Diabolica[w:0.2][shake:1] macchina!
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN1_425_F;;
GBC_FINALE_PART2FINALEP03CHOSEN1_675_M;[t:1]He[w:0.4]he[w:0.2]he.[w:0.4][t:] Suckers.;[t:1]Eh[w:0.4]eh[w:0.2]eh.[w:0.4][t:]Coglioni.
GBC_FINALE_PART2FINALEP03CHOSEN1_675_F;;
GBC_FINALE_PART2FINALEP03CHOSEN1_728_M;Oh.[w:0.3] You actually picked me?[w:0.3] Great.;Oh.[w:0.3] Hai scelto me, sul serio?[w:0.3] Grande.
GBC_FINALE_PART2FINALEP03CHOSEN1_728_F;;
GBC_FINALE_PART2FINALEP03CHOSEN1_220_M;I can skip past the part where they whine at me.;Posso saltare la parte in cui piagnucolano e si lamentano di me.
GBC_FINALE_PART2FINALEP03CHOSEN1_220_F;;
GBC_FINALE_PART2FINALEP03CHOSEN1_586_M;Let's get this over with.[w:0.3] I've got some big plays to make.;Facciamola finita.[w:0.3] Ho delle giocate importanti da fare.
GBC_FINALE_PART2FINALEP03CHOSEN1_586_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN2_767_M;Ah.[w:0.3] P[w:0.2]0[w:0.2]3[w:0.2]... The very worst of them.;Ah.[w:0.3] P[w:0.2]0[w:0.2]3[w:0.2]... Il peggiore di tutti loro.
GBC_FINALE_PART2FINALEGRIMORACHOSEN2_767_F;;
GBC_FINALE_PART2FINALEGRIMORACHOSEN2_113_M;Do what you will,[w:0.3] vile computer.;Fa' ciò che devi,[w:0.3] vile computer.
GBC_FINALE_PART2FINALEGRIMORACHOSEN2_113_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN2_052_M;Of course.[w:0.3] P03.;Ovviamente.[w:0.3] P03.
GBC_FINALE_PART2FINALELESHYCHOSEN2_052_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN2_890_M;This synthetic freak knows nothing of artistry. Of-[w:0.2] of-[w:0.2] aesthetics!;Quel mostro sintetico non ha idea di cosa sia l'arte. E n-[w:0.2]neppure[w:0.2] l'estetica!
GBC_FINALE_PART2FINALELESHYCHOSEN2_890_F;;
GBC_FINALE_PART2FINALELESHYCHOSEN2_783;Monster...[w:0.2] I liked you better as a stoat...;Mostro...[w:0.2] Ti preferivo come ermellino...
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN2_843_M;Alas...[w:0.3] ill fates await us all.;Ahimè...[w:0.3] un triste destino attende tutti noi.
GBC_FINALE_PART2FINALEMAGNIFICUSCHOSEN2_843_F;;
GBC_WORLD_WIZARDTEMPLENOTE1_164_M;The note reads: [c:gray]Greetings. If you are reading this it must be because you wish to challenge me, Magnificus, to a card battle.[prefab:WizardMarking_F1_1] ;La nota dice: [c:gray]Saluti. Se stai leggendo, significa che desideri sfidare me, Magnificus, a una battaglia di carte.[prefab:WizardMarking_F1_1] 
GBC_WORLD_WIZARDTEMPLENOTE1_164_F;;
GBC_WORLD_WIZARDTEMPLENOTE1_814_M;[c:gray]But in order to earn that privilege you must first defeat my 3 graduate students.[prefab:WizardMarking_F1_2] ;[c:gray]Ma per conquistare un tale privilegio dovrai prima sconfiggere i miei 3 studenti.[prefab:WizardMarking_F1_2] 
GBC_WORLD_WIZARDTEMPLENOTE1_814_F;;
GBC_WORLD_WIZARDTEMPLENOTE1_338_M;[c:gray]As for their whereabouts, that is for you to discover... Sincerely, Magnificus.[prefab:WizardMarking_F1_3] ;[c:gray]E se ti chiedi dove si trovano, mi dispiace, ma sta a te scoprirlo... Cordialmente, Magnificus.[prefab:WizardMarking_F1_3] 
GBC_WORLD_WIZARDTEMPLENOTE1_338_F;;
GBC_FINALE_PART2FINALESCRYBEREMOVED_802_M;Wretched corpse-woman...[w:0.3] I won't miss her whining.;Odiosa donna-cadavere...[w:0.3] Non mi mancheranno le sue lamentele.
GBC_FINALE_PART2FINALESCRYBEREMOVED_802_F;;
GBC_FINALE_PART2FINALESCRYBEREMOVED_290;Filthy old beast.[w:0.3] I'll never be your stoat again.;Vecchia bestia schifosa.[w:0.3] Non sarò mai più il tuo ermellino.
GBC_FINALE_PART2FINALESCRYBEREMOVED_049;Tedious old fool...[w:0.3] I don't owe you anything!;Vecchio idiota noioso...[w:0.3] Non ti devo nulla!
GBC_FINALE_PART2FINALESCRYBEREMOVED_947_M;Now let's play.;Adesso giochiamo.
GBC_FINALE_PART2FINALESCRYBEREMOVED_947_F;;
GBC_FINALE_PART2FINALEBATTLE1_092_M;[t:2]You're supposed to battle the Scrybe that you picked...[w:0.5] but[w:0.2] like[w:0.2] a powered-up version for the finale.;[t:2]Dovresti affrontare lo Scriba che hai scelto...[w:0.5] ma[w:0.2] tipo[w:0.2] una versione potenziata per il gran finale.
GBC_FINALE_PART2FINALEBATTLE1_092_F;;
GBC_FINALE_PART2FINALEBATTLE1_993_M;This is going to be different.;Sarà diverso.
GBC_FINALE_PART2FINALEBATTLE1_993_F;;
GBC_FINALE_PART2FINALEBATTLE2_265_M;I'll just leave this here.;La lascerò qua.
GBC_FINALE_PART2FINALEBATTLE2_265_F;;
GBC_FINALE_PART2FINALEBATTLE2_295_M;I've gotta give it to that Dredger...[w:0.3] Not as useless as I thought.;Devo rendere merito a quel Draghista...[w:0.3] Non è inutile come pensavo.
GBC_FINALE_PART2FINALEBATTLE2_295_F;;
GBC_FINALE_PART2FINALEBATTLE2_REPEAT_#1_962_M;Try again?;Vuoi riprovare?
GBC_FINALE_PART2FINALEBATTLE2_REPEAT_#1_962_F;;
GBC_FINALE_PART2FINALEBATTLE3_492_M;That's the ticket.;Quello è il biglietto.
GBC_FINALE_PART2FINALEBATTLE3_492_F;;
PART_3_MAP_HOLOAREAWIZARD1_810_M;You like the gems?;Ti piacciono le gemme?
PART_3_MAP_HOLOAREAWIZARD1_810_F;;
PART_3_MAP_HOLOAREAWIZARD1_039_M;They're tacky I think.;Io le trovo pacchiane.
PART_3_MAP_HOLOAREAWIZARD1_039_F;;
PART_3_MAP_HOLOAREAWIZARDTEMPLE1_301_M;The guy who used to live here was a major drag.;Il tizio che viveva qui era una lagna assurda.
PART_3_MAP_HOLOAREAWIZARDTEMPLE1_301_F;;
PART_3_MAP_HOLOAREAWIZARDTEMPLE1_636_M;Though I'll admit... he was not dull.;Anche se devo ammetterlo... non era noioso.
