Column1;Column10;TUR 
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_618_F;;
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#1_498_M;You really filled up that one card.;O kartı tek başına bayağı doldurdun.
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#1_498_F;;
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#1_865_M;All your eggs in one basket.;Tek bir şeye bel bağlamak...
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#1_865_F;;
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#1_537_M;Smart.;Akıllıca.
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#1_537_F;;
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#2_181_M;The full 4 abilities. Great.;4 tam beceri. Muhteşem.
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#2_181_F;;
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#3_219_M;OK, it's OP. I get it.;Tamam, bu OP olmuş. Anlıyorum.
PART_3_SPECIAL_NODES_GAINABILITYCOMPLETEDFULL_REPEAT_#3_219_F;;
GOO_BOTTLE_OILPAINTINGHINT_811_M;You're wondering about that painting?;O tabloyu mu merak ettin?
GOO_BOTTLE_OILPAINTINGHINT_811_F;;
GOO_BOTTLE_OILPAINTINGHINT_731_M;I've seen stuff come out of it!;İçinden bazı şeylerin çıktığına şahit oldum!
GOO_BOTTLE_OILPAINTINGHINT_731_F;;
GOO_BOTTLE_OILPAINTINGHINT_240_M;But only if the cards are aligned just right.;Ama sadece kartlar doğru hizalanırsa.
GOO_BOTTLE_OILPAINTINGHINT_240_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#1_192_M;You're still curious...;Hâlâ merak ediyorsun...
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#1_192_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#1_947_M;First step would be getting those cards in your deck.;İlk adım, oradaki kartları destene eklemek olur.
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#1_947_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#2_682_M;Rrrgh!;Iıııh!
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#2_682_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#2_862_M;I know I've seen things come out of that painting.;O tablonun içinden bazı şeylerin çıktığına şahit olduğumu biliyorum.
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#2_862_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#2_579_M;If the cards are placed just so.;Elbette kartlar uygun yerleştirilirse.
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#2_579_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#3_950_M;Take a picture... it will last longer.;Fotoğraf çek... Çeyizine koyarsın.
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#3_950_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#4_301_M;If I were you? I'd leave it alone.;Yerinde olsam ne mi yapardım? Onu yalnız bırakırdım.
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#4_301_F;;
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#4_425_M;Unless you can place those cards exactly right.;Tabii kartları doğru yerleştiremezsen.
GOO_BOTTLE_OILPAINTINGHINT_REPEAT_#4_425_F;;
GOO_BOTTLE_GOOSOLVEDOILPAINTING_614_M;You really did it!;Gerçekten de başardın!
GOO_BOTTLE_GOOSOLVEDOILPAINTING_614_F;;
GOO_BOTTLE_GOOSOLVEDOILPAINTING_616_M;I knew I had seen stuff come out of that painting.;O tablodan bir şeylerin çıktığına şahit olduğumu biliyordum.
GOO_BOTTLE_GOOSOLVEDOILPAINTING_616_F;;
GOO_BOTTLE_GOOSOLVEDOILPAINTING_375_M;Bring it here...;Onu buraya getir...
GOO_BOTTLE_GOOSOLVEDOILPAINTING_375_F;;
GOO_BOTTLE_GOOSOLVEDOILPAINTING_REPEAT_#1_572_M;Nice work...;İyi iş çıkardın...
GOO_BOTTLE_GOOSOLVEDOILPAINTING_REPEAT_#1_572_F;;
GOO_BOTTLE_GOOSOLVEDOILPAINTING_REPEAT_#1_261_M;You solved the mysterious painting.;Gizemli tabloyu çözdün.
GOO_BOTTLE_GOOSOLVEDOILPAINTING_REPEAT_#1_261_F;;
GOO_BOTTLE_GOOSOLVEDOILPAINTING_REPEAT_#1_565_M;For now...;Şimdilik...
GOO_BOTTLE_GOOSOLVEDOILPAINTING_REPEAT_#1_565_F;;
GOO_BOTTLE_WARDROBEHINT1_509_M;Pondering the wardrobe?;Gardırobu mu düşünüyorsun?
GOO_BOTTLE_WARDROBEHINT1_509_F;;
GOO_BOTTLE_WARDROBEHINT1_877_M;I've seen it open.;Açıldığını gördüm.
GOO_BOTTLE_WARDROBEHINT1_877_F;;
GOO_BOTTLE_WARDROBEHINT1_297_M;Just need the right configuration...;Doğru düzenlemeyi yapman gerekiyor...
GOO_BOTTLE_WARDROBEHINT1_297_F;;
GOO_BOTTLE_WARDROBEHINT1_935_M;It looks kind of like a card battle, huh?;Sanki bir kart savaşıymış gibi gözükmüyor mu?
GOO_BOTTLE_WARDROBEHINT1_935_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_110_M;Still scratching your head?;Kafan hâlâ karışık mı?
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_110_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_779_M;I reckon if the pieces are cards...;Parçaları kartmış gibi düşünüyorum...
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_779_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_264_M;Arrgh!;Aaaah!
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_264_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_824_M;Then you need to use them to win!;Sonrasında onları kullanarak kazanmalısın!
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#1_824_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#2_428_M;And it takes 5 damage to win...;Ve kazanmak için 5 hasar vermelisin...
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#2_428_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#3_934_M;It's a bit like a card battle.;Bir kart savaşı gibi.
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#3_934_F;;
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#3_960_M;5 damage to win?;Kazanmak için 5 hasar mı?
GOO_BOTTLE_WARDROBEHINT1_REPEAT_#3_960_F;;
GOO_BOTTLE_WARDROBEHINT2_452_M;I've seen that one open.;Onun açıldığını görmüştüm.
GOO_BOTTLE_WARDROBEHINT2_452_F;;
GOO_BOTTLE_WARDROBEHINT2_281_M;Just need to position things right...;Sadece onları doğru konumlandırmalısın...
GOO_BOTTLE_WARDROBEHINT2_281_F;;
GOO_BOTTLE_WARDROBEHINT2_665_M;Of course, you would need to know what the sigils mean.;Elbette mühürlerin ne anlama geldiklerini bilmen gerekiyor.
GOO_BOTTLE_WARDROBEHINT2_665_F;;
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#1_786_M;If the pieces are cards...;Eğer parçalar kartsa...
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#1_786_F;;
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#1_443_M;And it's 5 damage to win...;Ve kazanmak için 5 hasar gerekiyorsa...
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#1_443_F;;
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#1_129_M;Well, you would still need to understand the sigils.;Yine de mühürlerin ne anlama geldiğini bilmen gerekir.
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#1_129_F;;
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#2_725_M;Don't know all those sigils?;Tüm mühürleri bilmiyor musun?
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#2_725_F;;
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#2_387_M;Neither do I...;Ben de bilmiyorum...
GOO_BOTTLE_WARDROBEHINT2_REPEAT_#2_387_F;;
TUTORIAL_TUTORIALCOSTBASEDCHOICE2_410_M;A random card with a [c:bR]cost[c:] of [c:bR][v:0][c:].;[c:bR]Bedeli[c:] [c:bR][v:0][c:] olan rastgele bir kart.
TUTORIAL_TUTORIALCOSTBASEDCHOICE2_410_F;;
TUTORIAL_TUTORIALCOSTBASEDCHOICE2_061_M;What were you expecting?;Ne bekliyordun?
TUTORIAL_TUTORIALCOSTBASEDCHOICE2_061_F;;
TUTORIAL_TUTORIALTRIBEBASEDCHOICE2_899_M;A randomly chosen [c:bR][v:0][c:] card.;Rastgele seçilmiş bir [c:bR][v:0][c:] kartı.
TUTORIAL_TUTORIALTRIBEBASEDCHOICE2_899_F;;
TUTORIAL_TUTORIALTRIBEBASEDCHOICE2_277_M;Did you wish for something else?;Başka bir şey mi isterdin?
TUTORIAL_TUTORIALTRIBEBASEDCHOICE2_277_F;;
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_300_M;[v:0]...;[v:0]...
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_300_F;;
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_697_M;How very... Creative...;Ne kadar da... yaratıcı...
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_697_F;;
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#1_454_M;You name it "[v:0]"?;İsmini "[v:0]" olarak mı belirledin?
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#1_454_F;;
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#1_494_M;That was your choice.;Seçimin buydu.
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#1_494_F;;
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#2_306_M;Okay, moving on.;Peki, devam ediyoruz.
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#2_306_F;;
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#3_670_M;[v:0]... Okay...;[v:0]... Pekâlâ...
PART_3_SPECIAL_NODES_BUILDACARDCOMPLETE_REPEAT_#3_670_F;;
PART_3_SPECIAL_NODES_BUILDACARDSCAN_711_M;I should be able to send the components down the line.;Bileşenleri hattan aşağı gönderebilirim.
PART_3_SPECIAL_NODES_BUILDACARDSCAN_711_F;;
PART_3_SPECIAL_NODES_BUILDACARDSCAN_014_M;Here it goes...;İşte gidiyor...
PART_3_SPECIAL_NODES_BUILDACARDSCAN_014_F;;
PART_3_SPECIAL_NODES_BUILDACARDSCAN_REPEAT_#1_065_M;Scanner operational.;Tarayıcı, kullanıma hazır.
PART_3_SPECIAL_NODES_BUILDACARDSCAN_REPEAT_#1_065_F;;
PART_3_SPECIAL_NODES_BUILDACARDSCAN_REPEAT_#1_395_M;Time to do this.;Vakit geldi.
PART_3_SPECIAL_NODES_BUILDACARDSCAN_REPEAT_#1_395_F;;
PART_3_SPECIAL_NODES_BUILDACARDSCAN_REPEAT_#2_837_M;It's coming down the line.;Hattan aşağı geliyor.
PART_3_SPECIAL_NODES_BUILDACARDSCAN_REPEAT_#2_837_F;;
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_096_M;It's alright I guess.;Sanırım fena değil.
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_096_F;;
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#1_789_M;Well, there it is.;İşte oldu.
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#1_789_F;;
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#2_417_M;Fresh out of the printer.;Yazıcıdan, taptaze.
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#2_417_F;;
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#3_935_M;It's yours.;Bu senin.
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#3_935_F;;
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#3_307_M;I wouldn't want it.;Ben onu almam.
PART_3_SPECIAL_NODES_BUILDACARDPRINTED_REPEAT_#3_307_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_454_M;You probably think what I do is easy.;Muhtemelen yaptığım işin kolay olduğunu düşünüyorsun.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_454_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_172_M;Fiddle with the numbers, tweak the graphics...;Sayılarla oynayıp grafikleri de ayarladım mı...
PART_3_SPECIAL_NODES_BUILDACARDINTRO_172_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_132_M;And voila! Botopia is made.;İşte tamam! Botopya yaratıldı.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_132_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_425_M;No. You're wrong.;Hayır. Hatalısın.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_425_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_701_M;You try making a card. Go ahead.;Bir de sen kart yapmayı denesene. Hadi dene.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_701_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_577_M;But first pick one to recycle.;Ama ilk önce geri dönüştürmek için kartlarından birini seç.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_577_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#1_477_M;So now you probably see how it isn't easy.;Şimdi neden o kadar kolay olmadığını muhtemelen anlamışsındır.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#1_477_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#1_302_M;Balancing these cards. Making them good.;Kartları dengeliyorum. Onları iyi hale getiriyorum.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#1_302_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#1_035_M;Try again.;Yeniden dene.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#1_035_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#2_739_M;Another chance to design a card.;Kart tasarlamak için bir olanak daha.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#2_739_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#2_002_M;Your last couple were...;Son tasarladıkların...
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#2_002_F;;
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#2_282_M;They weren't balanced. Let's say that.;Çok da dengeli değillerdi. Öyle diyelim.
PART_3_SPECIAL_NODES_BUILDACARDINTRO_REPEAT_#2_282_F;;
GBC_NPC_MYCOLOGISTSNPC1_625_M;Uh...[w:0.3] oh...[w:0.3] You have found us here.[w:0.3] Th-[w:0.2] this is good?;Ah...[w:0.3] ııh...[w:0.3] Burada bizi buldun.[w:0.3] Bu...[w:0.2] bu iyi bir şey mi?
GBC_NPC_MYCOLOGISTSNPC1_625_F;;
GBC_NPC_MYCOLOGISTSNPC1_315_M;[shake:1][p:-0.25]This is good.;[shake:1][p:-0.25]Bu iyi bir şey.
GBC_NPC_MYCOLOGISTSNPC1_315_F;;
GBC_NPC_MYCOLOGISTSNPC1_106_M;[shake:1]W-[w:0.2] we require...[w:0.3] We require...[w:0.3];[shake:1]Bi...[w:0.2] bize...[w:0.3] lazım olan...[w:0.3]
GBC_NPC_MYCOLOGISTSNPC1_106_F;;
GBC_NPC_MYCOLOGISTSNPC1_276_M;[shake:1][p:-0.25]We require duplicates.[w:0.3] Do you see the diagram?[w:0.3] Two of that.;[shake:1][p:-0.25]Bize kopya lazım.[w:0.3] Diyagramı görüyor musun?[w:0.3] Ondan iki tane lazım.
GBC_NPC_MYCOLOGISTSNPC1_276_F;;
GBC_NPC_MYCOLOGISTSNPC1_902_M;[shake:1]Th-[w:0.2] thank you?;[shake:1]Te...[w:0.2] teşekkürler.
GBC_NPC_MYCOLOGISTSNPC1_902_F;;
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#1_415_M;[p:-0.25]Do you see the diagram?[w:0.3] Two of that.;[p:-0.25]Diyagramı görüyor musun?[w:0.3] Ondan iki tane lazım.
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#1_415_F;;
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#1_477_M;[shake:1]P-[w:0.2] please?;[shake:1]Lü...[w:0.2] lütfen.
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#1_477_F;;
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#2_425_M;W-we require...[w:0.3] F-[w:0.2] for our experiments...;İhtiyacımız var...[w:0.3] De...[w:0.2] deneylerimiz için...
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#2_425_F;;
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#2_722_M;[shake:1][p:-0.25]We require duplicates.[w:0.3] See the diagram?;[shake:1][p:-0.25]Kopyalara ihtiyacımız var.[w:0.3] Diyagramı görüyor musun?
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#2_722_F;;
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#3_027_M;[p:-0.25]Our experiments must continue.;[p:-0.25]Deneylerimiz devam etmeli.
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#3_027_F;;
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#3_282_M;[shake:1]T-[w:0.2] two of the same?;[shake:1]Ay...[w:0.2] aynısından iki tane mi?
GBC_NPC_MYCOLOGISTSNPC1_REPEAT_#3_282_F;;
PART_3_GAME_FLOW_P03SURRENDER_563_M;OK, you win.;Tamam, sen kazandın.
PART_3_GAME_FLOW_P03SURRENDER_563_F;;
PART_3_GAME_FLOW_P03SURRENDER_182_M;I concede. Let's move on.;Geri çekiliyorum. İşimize bakalım.
PART_3_GAME_FLOW_P03SURRENDER_182_F;;
PART_3_GAME_FLOW_P03SURRENDER_REPEAT_#1_547_M;Happy?;Mutlu musun?
PART_3_GAME_FLOW_P03SURRENDER_REPEAT_#1_547_F;;
PART_3_GAME_FLOW_P03SURRENDER_REPEAT_#2_920_M;Concede.;Çekiliyorum.
PART_3_GAME_FLOW_P03SURRENDER_REPEAT_#2_920_F;;
PART_3_GAME_FLOW_P03SURRENDER_REPEAT_#4_846_M;You got it. Let's move on.;Sen kazandın. Devam edelim.
PART_3_GAME_FLOW_P03SURRENDER_REPEAT_#4_846_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_299_M;G0lly!;4m4n1n!
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_299_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_116_M;Th-that's my name. You can call me G0lly.;Be... benim adım. Bana 4m4n1n diyebilirsin.
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_116_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_371_M;I'm so excited!;Çok heyecanlıyım!
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_371_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_222_M;We're about to explore it!;Keşfe çıkmak üzereyiz!
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_222_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_401_M;The [c:bSG]web[c:]!;Hem de [c:bSG]internette[c:]!
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_401_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#1_452_M;G0lly.;4m4n1n.
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#1_452_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#1_760_M;I can't wait to explore the [c:bSG]web[c:] again!;[c:bSG]İnterneti[c:] tekrar keşfetmek için sabırsızlanıyorum!
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#1_760_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#2_178_M;It awaits us!;Bizi bekliyor!
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#2_178_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#3_875_M;G0lly. Here we go again.;4m4n1n. İşte yine başlıyoruz.
PART_3_BOSS_DIALOGUE_TELEGRAPHERINTRO_REPEAT_#3_875_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERFRIENDCARDS1_713_M;Nifty! I think I'm getting a signal.;Harika! Galiba bir sinyal alıyorum.
PART_3_BOSS_DIALOGUE_TELEGRAPHERFRIENDCARDS1_713_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERFRIENDCARDS1_291_M;W-what are these?;Bu... bunlar da ne?
PART_3_BOSS_DIALOGUE_TELEGRAPHERFRIENDCARDS1_291_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERFRIENDCARDS2_128_M;Are these... your [c:bSG]friends[c:]?;Bunlar... senin [c:bSG]dostların mı[c:]?
PART_3_BOSS_DIALOGUE_TELEGRAPHERFRIENDCARDS2_128_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_917_M;I sure hope I can get a good connection!;Umarım iyi bir bağlantım olur!
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_917_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_REPEAT_#1_115_M;Can we get a good signal?;İyi bir bağlantı kurabilir miyiz?
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_REPEAT_#1_115_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_REPEAT_#2_735_M;I'm about to connect to the [c:bSG]web[c:]!;[c:bSG]İnternete[c:] bağlanmak üzereyim!
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_REPEAT_#2_735_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_REPEAT_#3_830_M;G0lly. I hope we get a good signal.;4m4n1n. Umarım iyi bir bağlantı kurabiliriz.
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSTART_REPEAT_#3_830_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_208_M;Nifty! We're in!;Harika! Bağlandık!
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_208_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_955_M;Isn't the [c:bSG]web[c:] wonderful?;[c:bSG]İnternet[c:] ne de muhteşem, öyle değil mi?
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_955_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_REPEAT_#1_438_M;G0lly... It's glorious.;4m4n1n... bu muhteşem.
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_REPEAT_#1_438_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_REPEAT_#2_957_M;G0lly... The [c:bSG]web[c:] sure is nifty...;4m4n1n... [c:bSG]İnternet[c:] gerçekten de harika...
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_REPEAT_#2_957_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_REPEAT_#3_576_M;Wow... It's wonderful.;Vay be... bu şahane.
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTSUCCESS_REPEAT_#3_576_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERPLAYMOLE_195_M;So that's what a [c:bSG]mole[c:] really looks like...;Demek [c:bSG]köstebek[c:] böyle gözüküyormuş...
PART_3_BOSS_DIALOGUE_TELEGRAPHERPLAYMOLE_195_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERPLAYMOLE_367_M;Adorable!;Çok şirin!
PART_3_BOSS_DIALOGUE_TELEGRAPHERPLAYMOLE_367_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERPLAYMOLE_REPEAT_#2_476_M;A real [c:bSG]mole[c:]! Nifty!;Gerçek bir [c:bSG]köstebek[c:]! Harika!
PART_3_BOSS_DIALOGUE_TELEGRAPHERPLAYMOLE_REPEAT_#2_476_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_686_M;Hm. We're in, but the [c:bR]connection is a bit weak[c:]...;Hm. Bağlandık ama [c:bR]bağlantımız biraz zayıf[c:]...
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_686_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_684_M;It's still... wonderful though.;İnternet yine de... şahane.
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_684_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_229_M;Let's work with what we've got.;Hadi, elimizdekilerle bir şeyler yapalım.
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_229_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_REPEAT_#1_601_M;Hm. The [c:bR]connection is shaky[c:]...;Hm. [c:bR]Bağlantımız gidip geliyor[c:]...
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_REPEAT_#1_601_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_REPEAT_#1_066_M;Even so, the [c:bSG]web[c:] sure is nifty...;Buna rağmen [c:bSG]internet[c:] gerçekten de harika...
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_REPEAT_#1_066_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_REPEAT_#2_469_M;G0lly... The [c:bR]connection is bad[c:]...;4m4n1n... [c:bR]Bağlantı berbat[c:]...
PART_3_BOSS_DIALOGUE_TELEGRAPHERCONNECTFAILURE_REPEAT_#2_469_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_966_M;Woah! A new signal!;Vay! Yeni bir sinyal!
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_966_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_866_M;Someone is trying to send you a [c:bSG]card[c:]!;Birisi sana bir [c:bSG]kart[c:] göndermeye çalışıyor!
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_866_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_024_M;Let's see if we can receive it...;Bakalım alabilecek miyiz?
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_024_F;;
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_REPEAT_#1_195_M;G0lly... Someone is trying to send you a [c:bSG]card[c:]!;4m4n1n... Birisi sana bir [c:bSG]kart[c:] göndermeye çalışıyor!
PART_3_BOSS_DIALOGUE_TELEGRAPHERRECEIVECARDATTEMPT_REPEAT_#1_195_F;;
